30-31,2-31
35-95,35-95
37-85,84-84
52-68,51-69
78-99,77-99
72-86,71-86
11-63,1-64
72-72,72-82
3-99,5-99
5-80,5-5
40-93,41-93
27-31,25-58
6-93,93-93
46-52,45-88
13-64,12-80
43-49,42-96
4-23,24-77
32-63,27-64
46-72,23-73
2-87,2-88
56-63,55-63
5-7,6-41
17-18,17-42
11-84,7-10
13-75,4-75
96-96,2-97
68-94,43-95
5-52,20-88
25-62,25-62
31-49,30-68
13-97,13-66
31-73,30-74
1-95,2-95
51-91,51-52
5-10,10-32
21-40,21-40
12-52,13-31
10-10,10-94
41-82,4-82
5-48,6-34
2-39,2-40
7-70,6-92
67-88,68-80
2-91,8-90
62-87,86-86
6-50,6-34
13-53,12-54
2-98,3-95
8-11,17-91
26-92,3-56
20-76,76-76
21-80,21-30
43-43,15-44
54-88,53-89
23-95,7-11
7-58,21-59
42-68,42-67
36-36,36-47
9-69,9-92
12-85,13-84
23-60,9-35
9-92,9-91
40-66,66-66
5-96,6-95
18-66,19-65
5-38,39-61
9-97,10-97
3-14,14-28
58-58,40-58
8-56,7-56
5-15,6-14
20-21,20-91
3-16,3-13
9-10,9-92
25-53,24-54
63-75,63-74
31-31,31-56
1-84,1-83
13-83,13-14
11-87,11-86
4-63,4-63
9-96,8-97
2-74,1-88
40-83,39-83
46-71,45-75
22-69,22-23
14-69,4-14
10-31,15-17
52-74,74-74
42-91,90-91
35-69,10-70
6-92,73-74
21-96,21-97
6-37,6-68
14-99,8-8
72-80,72-81
4-10,4-68
8-94,7-96
6-36,36-37
77-94,76-96
8-75,17-76
7-93,7-45
8-61,40-70
29-42,32-39
2-91,2-3
9-16,17-87
17-55,18-55
18-98,19-19
5-6,6-41
7-57,7-97
39-93,33-93
2-97,2-94
82-90,82-90
7-79,8-79
81-82,11-99
97-98,1-98
18-99,19-80
43-65,55-56
14-14,14-20
14-75,15-74
35-50,34-72
64-64,24-65
13-93,12-94
35-44,36-43
9-61,10-62
69-98,69-98
33-76,32-77
6-79,5-95
55-58,54-60
10-98,10-11
41-58,13-65
7-77,6-77
14-54,14-40
59-93,60-82
21-95,26-95
41-81,41-62
1-93,1-93
5-78,4-79
47-85,48-85
84-84,83-85
6-98,6-6
3-92,3-93
36-90,6-35
4-92,3-93
7-69,8-69
78-78,4-79
52-93,53-93
30-90,30-91
2-77,3-77
6-55,17-69
36-73,37-71
22-79,22-79
80-82,80-81
2-98,1-99
28-72,28-50
4-99,7-98
79-85,84-84
49-72,49-71
28-29,28-51
13-45,8-12
24-75,25-75
63-89,76-86
25-49,26-48
23-66,24-65
7-86,7-87
32-87,33-87
5-96,5-97
2-83,7-79
72-80,73-75
35-99,55-79
6-87,7-87
8-67,68-83
35-63,35-64
90-90,90-90
5-97,1-99
10-93,9-19
9-77,10-82
73-88,74-81
43-65,43-44
66-82,66-81
35-76,11-77
22-93,89-90
46-47,46-53
32-93,33-87
31-70,31-69
95-95,32-95
34-39,9-38
22-33,16-33
9-63,9-63
36-36,36-77
22-93,50-92
89-92,89-93
1-69,1-68
16-67,62-65
13-15,1-85
19-77,20-77
44-93,45-93
12-97,12-96
9-38,8-48
22-49,6-49
2-99,72-81
21-34,22-22
20-36,20-20
10-96,11-96
14-24,15-23
8-96,8-95
7-31,32-67
35-68,22-77
3-69,5-69
26-32,27-32
5-99,6-98
25-91,84-90
4-99,6-98
50-72,46-73
9-77,8-77
48-99,49-94
7-63,24-64
26-33,26-66
13-27,14-26
5-98,46-98
4-89,3-90
5-15,5-19
42-50,43-50
3-22,2-3
56-57,56-96
5-81,6-37
11-65,2-10
41-97,42-96
4-81,1-98
7-45,6-45
98-98,8-98
14-93,43-92
2-62,4-61
22-76,23-76
1-56,53-54
7-73,7-8
6-9,6-66
10-98,97-98
4-50,50-50
7-95,7-91
73-73,1-73
26-30,25-31
92-92,9-92
16-97,96-96
50-89,49-90
16-90,5-16
1-96,3-95
5-35,7-34
16-72,16-54
8-87,10-88
10-98,10-98
8-67,4-69
23-79,72-72
17-74,17-75
4-93,4-94
51-88,51-79
5-19,19-99
2-98,3-3
48-63,47-64
9-42,9-54
2-50,2-39
53-53,3-54
36-37,36-69
63-74,64-73
14-65,13-65
71-74,32-78
31-31,31-31
6-7,6-33
52-88,51-89
55-76,55-77
59-89,58-94
10-88,9-86
